category,mean,std
population,1000683.42,1238836.1565467662
size,602.47,428.84535312860737
air,9.93,2.922618688778952
crime,0.5478,0.2465140158287151
parking,4.887705720074803,0.886849619366771
income,82075.92,20269.043688186182
stations,267.88,258.49856015072885
ufo,295.18,186.32291217131618
temperature,51.85861940298508,8.070585900951691
